Não registramos demandas não atendidas pelo telefone ou presencial, somente quem entra em contato pelo wpp (que ainda são poucas pessoas, visto que foi implementado o wpp business  em dezembro).;;;;;;;;;
Data Proposta;Status;Grupo B;KM;Período;Via;Observação;Key Account;Assistente; Data Fechamento 
19/12/2022;NÃO ATENDIDA;Grupo B;150km/dia;5 dias;Wpp;Indisponibilidade;;;
23/12/2022;NÃO ATENDIDA;Grupo B;Km Livre;1 dia;Wpp;Indisponibilidade;;;
25/01/2023;NÃO ATENDIDA;Grupo B;100/dia;3 dias;Wpp;Indisponibilidade;;;
16/01/2023;NÃO ATENDIDA;Grupo B;100km/dia;5 dias;Wpp;Indisponibilidade;;;
15/02/2023;NÃO ATENDIDA;4X4 ;;;Wpp;Não temos na frota;;;
06/03/2023;NÃO ATENDIDA;Grupo B;100km/dia;20 dias;Wpp;Indisponibilidade;;;
07/03/2023;NÃO ATENDIDA;Grupo B;100km/dia;1 dia;Wpp;Indisponibilidade;;;
13/03/2023;NÃO ATENDIDA;Grupo B;Km livre;2 dias;Wpp;Indisponibilidade;;;
06/04/2023;NÃO ATENDIDA;Grupo L;Km livre;;Wpp;Indisponibilidade;;;
10/04/2023;NÃO ATENDIDA;Grupo CX;3.000/mês;3 meses;Wpp;Indisponibilidade;;;
14/04/2023;NÃO ATENDIDA;Grupo CX;3.000/mês ;mensal;Wpp;Indisponibilidade;;;
27/04/2023;NÃO ATENDIDA;F;3.000/mês;mensal;Wpp;Indisponibilidade;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
